 VARIABLES = X,Y,U,V,sy,w,p
 ZONE     i=         101          j=         101                       F=POINT
  0.839999974       9.99999978E-03  -4.94603766E-04  -7.83723590E-05  -2.04314347E-06   5.89269027E-02   7.34569272E-03
  0.849999964       9.99999978E-03  -3.49732756E-04  -6.94474438E-05  -1.30294882E-06   4.48002107E-02   7.17261294E-03
  0.859999955       9.99999978E-03  -2.21864466E-04  -6.01266765E-05  -6.54194594E-07   3.22368518E-02   6.99313311E-03
  0.870000005       9.99999978E-03  -1.11628709E-04  -5.05003518E-05  -1.00415306E-07   2.12909840E-02   6.80982042E-03
  0.879999995       9.99999978E-03  -1.94675649E-05  -4.06711260E-05   3.55812404E-07   1.19981095E-02   6.62539620E-03
  0.889999986       9.99999978E-03   5.43915121E-05  -3.07574446E-05   7.13007182E-07   4.37231502E-03   6.44272845E-03
  0.899999976       9.99999978E-03   1.09969362E-04  -2.08986512E-05   9.70961310E-07  -1.59713253E-03   6.26482442E-03
  0.909999967       9.99999978E-03   1.47579136E-04  -1.12630005E-05   1.13098019E-06  -5.95013471E-03   6.09481847E-03
  0.919999957       9.99999978E-03   1.67885562E-04  -2.06015329E-06   1.19622132E-06  -8.76140129E-03   5.93595579E-03
  0.930000007       9.99999978E-03   1.71986117E-04   6.43914882E-06   1.17218326E-06  -1.01477820E-02   5.79155982E-03
  0.939999998       9.99999978E-03   1.61523960E-04   1.38718551E-05   1.06743835E-06  -1.02776242E-02   5.66497818E-03
  0.949999988       9.99999978E-03   1.38844480E-04   1.97337413E-05   8.94746165E-07  -9.38188843E-03   5.55947237E-03
  0.959999979       9.99999978E-03   1.07207008E-04   2.33088595E-05   6.72763520E-07  -7.76458392E-03   5.47801051E-03
  0.969999969       9.99999978E-03   7.10479508E-05   2.35963253E-05   4.28568995E-07  -5.80319809E-03   5.42286830E-03
  0.979999959       9.99999978E-03   3.62304127E-05   1.93724027E-05   2.00837036E-07  -3.90971592E-03   5.39487693E-03
  0.989999950       9.99999978E-03   1.00200787E-05   1.00418520E-05   4.11209662E-08  -2.36768997E-03   5.39206760E-03
   1.00000000       9.99999978E-03   0.00000000       0.00000000       0.00000000      -8.22419359E-04   5.40754478E-03
   0.00000000       1.99999996E-02   0.00000000       0.00000000       0.00000000      -4.76051867E-03   8.51010736E-06
   9.99999978E-03   1.99999996E-02   1.61250737E-05  -3.28911628E-05   2.38025919E-07  -1.82120781E-03   8.51010736E-06
   1.99999996E-02   1.99999996E-02   3.97222502E-05  -3.95608295E-05   6.57823250E-07   9.43232502E-04   9.06972855E-06
   2.99999993E-02   1.99999996E-02   5.48302560E-05  -2.69968423E-05   1.02924253E-06   3.69624118E-03  -1.85950885E-05
   3.99999991E-02   1.99999996E-02   5.05164899E-05  -2.02686579E-06   1.19776007E-06   6.77202968E-03  -7.18174633E-05
   4.99999970E-02   1.99999996E-02   1.96367291E-05   3.01561649E-05   1.06977984E-06   1.05045885E-02  -1.47064347E-04
   5.99999987E-02   1.99999996E-02  -4.20508222E-05   6.59717043E-05   5.94636788E-07   1.51573000E-02  -2.40193243E-04
   7.00000003E-02   1.99999996E-02  -1.36643037E-04   1.03048435E-04  -2.49654221E-07   2.09099855E-02  -3.46921734E-04
